Moderate,,,,,,Critical,,,
Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CD4/Treg (scale),PDCD1_CTL (scale),,,Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CTL(scale),PDCD1_Treg (scale)
0,0,0,0,,,2.036308338,1.718431909,0,0
0,0,0,0,,,0,0,0,1.070995988
0,0,0,0,,,0,0,0.928358337,2.513632404
0,0,0,0,,,0,0,1.504742782,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.477115287,0,0,0
0,0,0.957627229,0.746235036,,,0,0,0,0.713779964
0,0,0.809965809,0,,,0,0,0,0
1.055297663,0,0,0,,,0,0,0,0
0,0.678064973,0,0,,,0,0,1.245056393,0
0,0,0,0,,,0,0,0,0
2.010780804,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.340394949,0
1.199841101,0,0,0,,,0,0,0,0
0,1.006079901,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.04555685,0.656887068
0,0,0,0,,,0,0,0,0
1.090607982,0,0,0,,,0,0,0,0
0,0,0.925675254,1.419605373,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,1.478654094,,,0,0,0,1.798485579
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0.789234932,0,1.230543907,1.269963547
0,0,0,0,,,0,0,1.26617098,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0.746590306,0,0,,,0,0,0.807562489,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
1.047195839,0,0,0,,,0,0,0,0
0,0,1.201624033,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0.818038488,1.174028846,,,0,0,0,0
1.216850025,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,2.259734446,0,1.664841863,0
0,0,0,2.505947937,,,0,0,0,0
0,1.136995535,0,1.123812698,,,1.213408011,0,0,0
0,0,1.325752955,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0.99668993,0,0,,,1.766988187,0,0,1.232426281
0,0,0,0,,,0,0,1.213927507,0
0,0,1.729754831,0,,,0,0,0.707193638,0
0,0,1.241045061,0,,,0,0,0.944802344,0
0,0,1.864283,0,,,0,0,0,0
0,0,0,1.165445979,,,0,0,0,0
0,0,0,0,,,0,0,1.634654412,0
0.981601161,0,0,1.496176354,,,0,0,1.097703417,0
0,0,1.090785669,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0.932379766,0
0,0.530342392,0.549656143,0,,,0,0,0,0
0,0,0,0,,,0,0,0.75799514,1.642418311
1.932224276,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.794699437,0
0,0,0,0,,,0,1.888938961,0,0.701625674
0,0,1.24664842,0,,,1.965639135,0,0,2.345346103
0,0,0,0,,,1.910305975,0,0,0
0,0,0,0,,,1.142593556,0,0.718618483,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.09025925,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0.884699669,0,0,,,0,0,0,0
1.740940166,0,0,1.204183254,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.005165482,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.174945755,0
0,0,0,0,,,0,0,1.354617889,1.257178337
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0.825822496,0,0
0,0,1.059959941,0,,,0,0,1.001844442,0
0,0,0,0,,,0,0,0,0
0,0,1.236349883,0,,,0,0,0,0
0,0,0,0,,,0,0,2.028739483,0
0,0,0,0,,,0,0,0,0
0,2.40786973,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.151903811,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.552732356
0,0,1.680724234,1.386883192,,,0,0,0,0
0,0,1.814927251,0,,,1.709198032,0,0,0
0,0,1.264441671,0,,,0,0,0,1.702762878
0,0,0,0,,,0,0,0,0
0,1.798278363,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.078707955,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.424019036,0,,,0,0,0,0
0,0,0,0,,,0,0,1.197466299,0
2.089481531,1.686526162,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.168998909
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,3.157950892,0
1.498346878,0,0,0,,,0,0,1.935555606,0
0,0,0,1.002946767,,,0,0,1.5873904,2.194684473
0,0,0,0,,,0,0,0,0
0,0,0,1.426803004,,,0,0,0,1.060124513
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,1.416038895,,,0,0,0,0
0,0,0,0,,,0,0,1.409177946,0
